訓練班別代碼,訓練班別名稱,,,
1,普通小型車班,,,
2,大貨車班,,,
3,大客車班,,,
4,聯結車班,,,
5,職業小型車班,,,
6,普通重機車班,,,
7,大型重機車班,,,
8,小型車逕升大客車班,,,
