序號,路期,號碼,備註,路考日期,路考項目,
100,0022AAA103,26,0022A098,,,
131,0022AAA103,27,0022A100,,,
46,0022AAA103,28,0022A103,,,
85,0022AAA103,29,0022A101,,,
6,0022AAA104,1,0021B016補,,,
183,0022AAA104,2,0022A071,,,
115,0022AAA104,3,0022A074,,,
70,0022AAA104,4,0022A075,,,
102,0022AAA104,5,0022A076,,,
173,0022AAA104,6,0022A083,,,
191,0022AAA104,7,0022A087,,,
557,0024BAA103,6,0024A083補,,,
618,0024BAA103,7,0024A077補,,,
728,0024BAA103,8,0024B053,,,
694,0024BAA103,9,0024B044,,,
720,0024BAA103,10,0024B046,,,
389,0024BAA103,11,0023A076補,,,
716,0024BAA103,12,0024B052,,,
703,0024BAA103,13,0024B047,,,
746,0024BAA103,14,0024B054,,,
758,0024BAA103,15,0024B020,,,
604,0024BAA103,16,0024A063補,,,
641,0024BAA103,17,0024A057補,,,
666,0024BAA103,18,0024B050,,,
692,0024BAA103,19,0024B043,,,
690,0024BAA103,20,0024B015,,,
698,0024BAA103,21,0024B045,,,
757,0024BAA103,22,0024B056,,,
722,0024BAA103,23,0024B028,,,
738,0024BAA103,24,0024B049,,,
708,0024BAA103,25,0024B055,,,
745,0024BAA103,26,0024B051,,,
658,0024BAA103,27,0001A022補,,,
749,0024BAA103,28,0024B048,,,
752,0024BAA103,29,0024B027,,,
732,0024BAA103,30,0024B025,,,
717,0024BAA103,31,0024B023,,,
776,0024BAA103,32,0024B019,,,
672,0024BAA104,1,0024B101,,,
655,0024BAA104,2,0024A017補,,,
573,0024BAA104,3,0024A055補,,,
771,0024BAA104,4,0024B102,,,
768,0024BAA104,5,0024B104,,,
597,0024BAA104,6,0024B107,,,
754,0024BAA104,7,0024B108,,,
574,0024BAA104,8,0024A047補,,,
612,0024BAA104,9,0024A044補,,,
739,0024BAA104,10,0024B017,,,
765,0024BAA104,11,0024B012,,,
715,0024BAA104,12,0024B016,,,
688,0024BAA104,13,0024B002,,,
731,0024BAA104,14,0024B003,,,
699,0024BAA104,15,0024B005,,,
721,0024BAA104,16,0024B008,,,
696,0024BAA104,17,0024B078,,,
747,0024BAA104,18,0024B077,,,
730,0024BAA104,19,0024B083,,,
700,0024BAA104,20,0024B073,,,
709,0024BAA104,21,0024B071,,,
669,0024BAA104,22,0024B081,,,
744,0024BAA104,23,0024B079,,,
734,0024BAA104,24,0024B033,,,
761,0024BAA104,25,0024B021,,,
773,0024BAA104,26,0024B026,,,
670,0024BAA104,27,0024B084,,,
660,0024BAA104,28,0024B072,,,
682,0024BAA104,29,0024B074,,,
372,0023AAA102,17,0023A045,,,
395,0023AAA102,18,0023A056,,,
93,0023AAA102,19,0022A015補,,,
378,0023AAA102,20,0023A053,,,
431,0023AAA102,21,0023A052,,,
416,0023AAA102,22,0023A054,,,
397,0023AAA102,23,0023A044,,,
360,0023AAA102,24,0023A049,,,
373,0023AAA102,25,0023A048,,,
374,0023AAA102,26,0023A043,,,
415,0023AAA102,27,0023A046,,,
376,0023AAA102,28,0023A047,,,
387,0023AAA102,29,0023A051,,,
111,0023AAA103,1,0022A070補,,,
401,0023AAA103,2,0023A068,,,
575,0023AAA103,3,0001A020補,,,
544,0023AAA103,4,0001A019補,,,
342,0023AAA103,5,0022B113補,,,
245,0023AAA103,6,0022B087補,,,
171,0023AAA103,7,0022A078補,,,
417,0023AAA103,8,0023A070,,,
410,0023AAA103,9,0023A069,,,
392,0023AAA103,10,0023A063,,,
406,0023AAA103,11,0023A060,,,
383,0023AAA103,12,0023A065,,,
430,0023AAA103,13,0023A057,,,
403,0023AAA103,14,0023A007,,,
381,0023AAA103,15,0023A005,,,
399,0023AAA103,16,0023A010,,,
346,0023AAA103,17,0023A013,,,
421,0023AAA103,18,0023A014,,,
282,0023AAA103,19,0022B051補,,,
349,0023AAA103,20,0023A001,,,
368,0023AAA103,21,0023A002,,,
139,0023AAA103,22,0022B048補,,,
352,0023AAA103,23,0023A009,,,
350,0023AAA103,24,0023A003,,,
427,0023AAA103,25,0023A004,,,
386,0023AAA103,26,0023A006,,,
391,0023AAA103,27,0023A011,,,
365,0023AAA103,28,0023A012,,,
268,0023AAA104,1,0022B019補,,,
334,0023AAA104,2,0022B036補,,,
292,0023AAA104,3,0022B004補,,,
302,0023AAA104,4,0022B039補,,,
203,0023AAA104,5,0022B034補,,,
389,0023AAA104,6,0023A076,,,
356,0023AAA104,7,0023A077,,,
348,0023AAA104,8,0023A072,,,
355,0023AAA104,9,0023A073,,,
354,0023AAA104,10,0023A074,,,
426,0023AAA104,11,0023A050,,,
412,0023AAA104,12,0023A042,,,
396,0023AAA104,13,0023A036,,,
411,0023AAA104,14,0023A030,,,
369,0023AAA104,15,0023A029,,,
309,0023AAA104,16,0022B107補,,,
122,0023AAA104,17,0022A069補,,,
52,0023AAA104,18,0022A066補,,,
382,0023AAA104,19,0023A033,,,
345,0023AAA104,20,0023A032,,,
353,0023AAA104,21,0023A034,,,
393,0023AAA104,22,0023A035,,,
388,0023AAA104,23,0023A038,,,
357,0023AAA104,24,0023A040,,,
367,0023AAA104,25,0023A039,,,
408,0023AAA104,26,0023A037,,,
359,0023AAA104,27,0023A041,,,
429,0023AAA104,28,0023A031,,,
320,0023AAA104,29,0001A007補,,,
179,0023BAA101,1,0022A136補,,,
331,0023BAA101,2,0001A017補,,,
658,0023BAA101,3,0001A022補,,,
657,0023BAA101,4,0001A021補,,,
433,0023BAA101,5,0023B087,,,
451,0023BAA101,6,0023B091,,,
474,0023BAA101,7,0023B086,,,
341,0023BAA101,8,0022B118補,,,
394,0023BAA101,9,0023A019補,,,
530,0023BAA101,10,0023B094,,,
418,0023BAA101,11,0023A026補,,,
513,0023BAA101,12,0023B044,,,
470,0023BAA101,13,0023B045,,,
532,0023BAA101,14,0023B047,,,
443,0023BAA101,15,0023B053,,,
504,0023BAA101,16,0023B055,,,
498,0023BAA101,17,0023B060,,,
436,0023BAA101,18,0023B065,,,
469,0023BAA101,19,0023B052,,,
482,0023BAA101,20,0023B059,,,
438,0023BAA101,21,0023B063,,,
507,0023BAA101,22,0023B069,,,
466,0023BAA101,23,0023B051,,,
500,0023BAA101,24,0023B048,,,
457,0023BAA101,25,0023B058,,,
454,0023BAA101,26,0023B056,,,
524,0023BAA101,27,0023B054,,,
129,0023BAA101,28,0023A071補,,,
354,0023BAA102,1,0023A074補,,,
389,0023BAA102,2,0023A076補,,,
447,0023BAA102,3,0023B068,,,
453,0023BAA102,4,0023B070,,,
458,0023BAA102,5,0023B064,,,
465,0023BAA102,6,0023B067,,,
486,0023BAA102,7,0023B050,,,
460,0023BAA102,8,0023B061,,,
483,0023BAA102,9,0023B062,,,
452,0023BAA102,10,0023B057,,,
540,0023BAA102,11,0023B049,,,
68,0023BAA102,12,0022A132補,,,
515,0023BAA102,13,0023B046,,,
480,0023BAA102,14,0023B012,,,
512,0023BAA102,15,0023B023,,,
439,0023BAA102,16,0023B008,,,
370,0023BAA102,17,0023B004,,,
446,0023BAA102,18,0023B003,,,
487,0023BAA102,19,0023B001,,,
491,0023BAA102,20,0023B014,,,
506,0023BAA102,21,0023B019,,,
536,0023BAA102,22,0023B007,,,
467,0023BAA102,23,0023B010,,,
445,0023BAA102,24,0023B006,,,
531,0023BAA102,25,0023B025,,,
505,0023BAA102,26,0023B013,,,
494,0023BAA102,27,0023B002,,,
441,0023BAA102,28,0023B005,,,
510,0023BAA102,29,0023B011,,,
496,0023BAA102,30,0023B009,,,
391,0023BAA103,1,0023A011補,,,
417,0023BAA103,2,0023A070補,,,
526,0023BAA103,3,0023B098,,,
534,0023BAA103,4,0023B100,,,
405,0023BAA103,5,0023A062補,,,
537,0023BAA103,6,0023B093,,,
410,0023BAA103,7,0023A069補,,,
430,0023BAA103,8,0023A057補,,,
404,0023BAA103,9,0023A059補,,,
522,0023BAA103,10,0023B085,,,
390,0023BAA103,11,0023A066補,,,
442,0023BAA103,12,0023B030,,,
455,0023BAA103,13,0023B042,,,
543,0023BAA103,14,0023B035,,,
461,0023BAA103,15,0023B033,,,
472,0023BAA103,16,0023B037,,,
529,0023BAA103,17,0023B027,,,
471,0023BAA103,18,0023B032,,,
462,0023BAA103,19,0023B018,,,
509,0023BAA103,20,0023B016,,,
435,0023BAA103,21,0023B029,,,
503,0023BAA103,22,0023B024,,,
481,0023BAA103,23,0023B031,,,
508,0023BAA103,24,0023B038,,,
444,0023BAA103,25,0023B040,,,
464,0023BAA103,26,0023B034,,,
518,0023BAA103,27,0023B041,,,
490,0023BAA103,28,0023B039,,,
450,0023BAA103,29,0023B021,,,
497,0023BAA103,30,0023B020,,,
309,0023BAA104,1,0022B107補,,,
372,0023BAA104,2,0023A045補,,,
373,0023BAA104,3,0023A048補,,,
111,0023BAA104,4,0022A070補,,,
667,0023BAA104,5,0001A023補,,,
528,0023BAA104,6,0023B028,,,
538,0023BAA104,7,0023B015,,,
514,0023BAA104,8,0023B017,,,
521,0023BAA104,9,0023B097,,,
387,0023BAA104,10,0023A051補,,,
525,0023BAA104,11,0023B099,,,
516,0023BAA104,12,0023B089,,,
478,0023BAA104,13,0023B084,,,
488,0023BAA104,14,0023B081,,,
477,0023BAA104,15,0023B080,,,
459,0023BAA104,16,0023B078,,,
492,0023BAA104,17,0023B071,,,
485,0023BAA104,18,0023B072,,,
434,0023BAA104,19,0023B073,,,
535,0023BAA104,20,0023B074,,,
479,0023BAA104,21,0023B075,,,
473,0023BAA104,22,0023B076,,,
468,0023BAA104,23,0023B077,,,
527,0023BAA104,24,0023B079,,,
499,0023BAA104,25,0023B082,,,
519,0023BAA104,26,0023B083,,,
463,0023BAA104,27,0023B088,,,
448,0023BAA104,28,0023B090,,,
621,0024AAA104,26,0024A026,,,
572,0024AAA104,27,0024A037,,,
616,0024AAA104,28,0024A016,,,
571,0024AAA104,29,0024A040,,,
484,0024AAA101,10,0023B043補,,,
629,0024AAA101,11,0024A053,,,
639,0024AAA101,12,0024A024,,,
625,0024AAA101,13,0024A021,,,
552,0024AAA101,14,0024A045,,,
559,0024AAA101,15,0024A048,,,
573,0024AAA101,16,0024A055,,,
578,0024AAA101,17,0024A046,,,
587,0024AAA101,18,0024A052,,,
617,0024AAA101,19,0024A051,,,
553,0024AAA101,20,0024A050,,,
612,0024AAA101,21,0024A044,,,
632,0024AAA101,22,0024A049,,,
550,0024AAA101,23,0024A059,,,
561,0024AAA101,24,0024A056,,,
603,0024AAA101,25,0024A028,,,
558,0024AAA101,26,0024A064,,,
590,0024AAA101,27,0024A027,,,
567,0024AAA101,28,0024A043,,,
648,0024AAA101,29,0024A054,,,
579,0024BAA101,1,0024A008補,,,
926,0024BAA101,2,0001A025補,,,
705,0024BAA101,3,0024B105,,,
706,0024BAA101,4,0024B106,,,
772,0024BAA101,5,0024B011,,,
763,0024BAA101,6,0024B018,,,
737,0024BAA101,7,0024B001,,,
735,0024BAA101,8,0024B010,,,
663,0024BAA101,9,0024B007,,,
764,0024BAA101,10,0024B006,,,
770,0024BAA101,11,0024B009,,,
686,0024BAA101,12,0024B013,,,
733,0024BAA101,13,0024B022,,,
677,0024BAA101,14,0024B014,,,
778,0024BAA101,15,0024B109,,,
769,0024BAA101,16,0024B094,,,
673,0024BAA101,17,0024B093,,,
671,0024BAA101,18,0024B087,,,
750,0024BAA101,19,0024B098,,,
718,0024BAA101,20,0024B088,,,
724,0024BAA101,21,0024B095,,,
748,0024BAA101,22,0024B085,,,
685,0024BAA101,23,0024B091,,,
740,0024BAA101,24,0024B090,,,
755,0024BAA101,25,0024B063,,,
714,0024BAA101,26,0024B092,,,
662,0024BAA101,27,0024B097,,,
729,0024BAA101,28,0024B069,,,
701,0024BAA101,29,0024B089,,,
674,0024BAA101,30,0024B086,,,
760,0024BAA101,31,0024B076,,,
675,0024BAA101,32,0024B096,,,
637,0024BAA102,1,0024A098補,,,
404,0024BAA102,2,0023A059補,,,
743,0024BAA102,3,0024B103,,,
571,0024BAA102,4,0024A040補,,,
697,0024BAA102,5,0024B099,,,
689,0024BAA102,6,0024B100,,,
563,0024BAA102,7,0024A042補,,,
925,0024BAA102,8,0001A024補,,,
725,0024BAA102,9,0024B037,,,
759,0024BAA102,10,0024B034,,,
704,0024BAA102,11,0024B030,,,
693,0024BAA102,12,0024B029,,,
661,0024BAA102,13,0024B035,,,
679,0024BAA102,14,0024B031,,,
766,0024BAA102,15,0024B041,,,
664,0024BAA102,16,0024B059,,,
691,0024BAA102,17,0024B070,,,
742,0024BAA102,18,0024B039,,,
727,0024BAA102,19,0024B038,,,
695,0024BAA102,20,0024B068,,,
523,0024BAA102,21,0023B036補,,,
659,0024BAA102,22,0024B036,,,
756,0024BAA102,23,0024B062,,,
777,0024BAA102,24,0024B058,,,
774,0024BAA102,25,0024B061,,,
687,0024BAA102,26,0024B042,,,
681,0024BAA102,27,0024B032,,,
665,0024BAA102,28,0024B040,,,
702,0024BAA102,29,0024B060,,,
723,0024BAA102,30,0024B066,,,
668,0024BAA102,31,0024B067,,,
767,0024BAA102,32,0024B057,,,
319,0024BAA103,1,0001A002補,,,
638,0024BAA103,2,0024A071補,,,
601,0024BAA103,3,0024A078補,,,
649,0024BAA103,4,0024A101補,,,
627,0024BAA103,5,0024A084補,,,
1257,0026AAA102,10,0026A092,,,
1090,0026AAA102,11,0026A004,,,
1211,0026AAA102,12,0026A002,,,
1091,0026AAA102,13,0026A006,,,
1262,0026AAA102,14,0026A010,,,
1040,0026AAA102,15,0026A018,,,
1129,0026AAA102,16,0026A025,,,
1171,0026AAA102,17,0026A112,,,
977,0026AAA102,18,0025B164補,,,
1113,0026AAA102,19,0026A023,,,
1236,0026AAA102,20,0026A017,,,
1140,0026AAA102,21,0026A016,,,
1114,0026AAA102,22,0026A015,,,
1125,0026AAA102,23,0026A014,,,
1200,0026AAA102,24,0026A013,,,
1205,0026AAA102,25,0026A012,,,
1145,0026AAA102,26,0026A011,,,
1309,0026AAA102,27,0026A022,,,
1207,0026AAA102,28,0026A009,,,
1155,0026AAA102,29,0026A008,,,
1198,0026AAA102,30,0026A007,,,
1134,0026AAA102,31,0026A005,,,
1070,0026AAA102,32,0026A003,,,
1087,0026AAA102,33,0026A001,,,
635,0026AAA102,34,0024A005補,,,
930,0026AAA103,1,0025B126補,,,
1141,0026AAA103,2,0026A029,,,
1089,0026AAA103,3,0026A033,,,
1116,0026AAA103,4,0026A040,,,
1219,0026AAA103,5,0026A027,,,
1080,0026AAA103,6,0026A028,,,
1146,0026AAA103,7,0026A041,,,
1265,0026AAA103,8,0026A035,,,
1092,0026AAA103,9,0026A036,,,
1199,0026AAA103,10,0026A039,,,
1065,0026AAA103,11,0025B153補,,,
678,0024BAA104,30,0024B075,,,
710,0024BAA104,31,0024B080,,,
680,0024BAA104,32,0024B082,,,
801,0025AAA101,1,0025A040,,,
772,0025AAA101,2,0024B011補,,,
677,0025AAA101,3,0024B014補,,,
739,0025AAA101,4,0024B017補,,,
731,0025AAA101,5,0024B003補,,,
705,0025AAA101,6,0024B105補,,,
