序號,路期,號碼,備註,路考日期,路考項目,
23628,0139BAA103,12,0139B036,7/18/18 0:00,2,
23625,0139BAA103,13,0139B041,7/18/18 0:00,2,
23648,0139BAA103,14,0139B043,7/18/18 0:00,2,
23617,0139BAA103,15,0139B044,7/18/18 0:00,2,
23210,0139BAA104,1,0135B023補,7/18/18 0:00,1,
23597,0139BAA104,2,0139A040補,7/18/18 0:00,1,
23594,0139BAA104,3,0139A032補,7/18/18 0:00,2,
23672,0139BAA104,4,0139B021,7/18/18 0:00,2,
23662,0139BAA104,5,0139B017,7/18/18 0:00,2,
23664,0139BAA104,6,0139B016,7/18/18 0:00,2,
23638,0139BAA104,7,0139B048,7/18/18 0:00,2,
23103,0139BAA104,8,0139B046,7/18/18 0:00,2,
23663,0139BAA104,9,0139B038,7/18/18 0:00,2,
23611,0139BAA104,10,0139B042,7/18/18 0:00,2,
23621,0139BAA104,11,0139B034,7/18/18 0:00,2,
23670,0139BAA104,12,0139B037,7/18/18 0:00,2,
23656,0139BAA104,13,0139B045,7/18/18 0:00,2,
23620,0139BAA104,14,0139B055,7/18/18 0:00,2,
23632,0139BAA104,15,0139B053,7/18/18 0:00,2,
23586,0139BAA105,1,0139A039補,7/18/18 0:00,1,
23592,0139BAA105,2,0139A010補,7/18/18 0:00,1,
23596,0139BAA105,3,0139A036補,7/18/18 0:00,2,
23653,0139BAA105,4,0139B052,7/18/18 0:00,2,
23599,0139BAA105,5,0139B054,7/18/18 0:00,2,
23639,0139BAA105,6,0139B014,7/18/18 0:00,2,
23600,0139BAA105,7,0139A004補,7/18/18 0:00,2,
23665,0139BAA105,8,0139B011,7/18/18 0:00,2,
23634,0139BAA105,9,0139B007,7/18/18 0:00,2,
23126,0139BAA105,10,0135A037補,7/18/18 0:00,2,
23647,0139BAA105,11,0139B031,7/18/18 0:00,2,
23641,0139BAA105,12,0139B023,7/18/18 0:00,2,
23609,0139BAA105,13,0139B025,7/18/18 0:00,2,
23612,0139BAA105,14,0139B030,7/18/18 0:00,2,
23608,0139BAA105,15,0139B029,7/18/18 0:00,2,
23570,0140AAA101,1,0139A041補,8/8/18 0:00,1,
23660,0140AAA101,2,0139B012補,8/8/18 0:00,1,
23396,0140AAA101,3,0137B012補,8/8/18 0:00,2,
23569,0140AAA101,4,0139A009補,8/8/18 0:00,2,
23695,0140AAA101,5,0140A063,8/8/18 0:00,2,
23706,0140AAA101,6,0140A010,8/8/18 0:00,2,
23722,0140AAA101,7,0140A011,8/8/18 0:00,2,
23657,0140AAA101,8,0140A004,8/8/18 0:00,2,
23716,0140AAA101,9,0140A013,8/8/18 0:00,2,
23698,0140AAA101,10,0140A001,8/8/18 0:00,2,
23728,0140AAA101,11,0140A014,8/8/18 0:00,2,
23687,0140AAA101,12,0140A056,8/8/18 0:00,2,
23726,0140AAA101,13,0140A008,8/8/18 0:00,2,
23674,0140AAA101,14,0140A005,8/8/18 0:00,2,
23683,0140AAA101,15,0140A006,8/8/18 0:00,2,
23689,0140AAA101,16,0140A012,8/8/18 0:00,2,
23737,0140AAA101,17,0140A064,8/8/18 0:00,2,
23589,0140AAA101,18,0139A001補,8/8/18 0:00,2,
23612,0140AAA102,1,0139B030補,8/8/18 0:00,1,
23667,0140AAA102,2,0139B019補,8/8/18 0:00,1,
23603,0140AAA102,3,0139B028補,8/8/18 0:00,2,
22701,0140AAA102,4,0130B099補,8/8/18 0:00,2,
23672,0140AAA102,5,0139B021補,8/8/18 0:00,2,
23705,0140AAA102,6,0140A023,8/8/18 0:00,2,
23686,0140AAA102,7,0140A027,8/8/18 0:00,2,
23724,0140AAA102,8,0140A028,8/8/18 0:00,2,
23659,0140AAA102,9,0140A019,8/8/18 0:00,2,
23703,0140AAA102,10,0140A015,8/8/18 0:00,2,
20648,0140AAA102,11,0120B043補,8/8/18 0:00,2,
23661,0140AAA102,12,0140A026,8/8/18 0:00,2,
23715,0140AAA102,13,0140A022,8/8/18 0:00,2,
23677,0140AAA102,14,0140A020,8/8/18 0:00,2,
23734,0140AAA102,15,0140A021,8/8/18 0:00,2,
23623,0140AAA102,16,0140A025,8/8/18 0:00,2,
23684,0140AAA102,17,0140A017,8/8/18 0:00,2,
23679,0140AAA102,18,0140A018,8/8/18 0:00,2,
23586,0140AAA103,1,0139A039補,8/8/18 0:00,1,
23606,0140AAA103,2,0139A043補,8/8/18 0:00,1,
23552,0140AAA103,3,0139A046補,8/8/18 0:00,1,
23658,0140AAA103,4,0139B049補,8/8/18 0:00,2,
23693,0140AAA103,5,0140A061,8/8/18 0:00,2,
23702,0140AAA103,6,0140A062,8/8/18 0:00,2,
23719,0140AAA103,7,0140A052,8/8/18 0:00,2,
23562,0140AAA103,8,0139A042補,8/8/18 0:00,2,
23688,0140AAA103,9,0140A042,8/8/18 0:00,2,
23708,0140AAA103,10,0140A045,8/8/18 0:00,2,
23736,0140AAA103,11,0140A055,8/8/18 0:00,2,
23714,0140AAA103,12,0140A050,8/8/18 0:00,2,
23718,0140AAA103,13,0140A048,8/8/18 0:00,2,
23725,0140AAA103,14,0140A053,8/8/18 0:00,2,
23654,0140AAA103,15,0140A046,8/8/18 0:00,2,
23707,0140AAA103,16,0140A040,8/8/18 0:00,2,
23727,0140AAA103,17,0140A051,8/8/18 0:00,2,
23558,0140AAA103,18,0140A041,8/8/18 0:00,2,
23701,0140AAA103,19,0140A047,8/8/18 0:00,2,
23575,0140AAA104,1,0139A038補,8/8/18 0:00,1,
22974,0140AAA104,2,0133A025補,8/8/18 0:00,1,
23663,0140AAA104,3,0139B038補,8/8/18 0:00,2,
23627,0140AAA104,4,0139B035補,8/8/18 0:00,2,
23629,0140AAA104,5,0139B010補,8/8/18 0:00,2,
23717,0140AAA104,6,0140A059,8/8/18 0:00,2,
23624,0140AAA104,7,0139B039補,8/8/18 0:00,2,
23721,0140AAA104,8,0140A057,8/8/18 0:00,2,
23652,0140AAA104,9,0139B032補,8/8/18 0:00,2,
23611,0140AAA104,10,0139B042補,8/8/18 0:00,2,
23643,0140AAA104,11,0139B040補,8/8/18 0:00,2,
23697,0140AAA104,12,0140A058,8/8/18 0:00,2,
23680,0140AAA104,13,0140A036,8/8/18 0:00,2,
23735,0140AAA104,14,0140A029,8/8/18 0:00,2,
23682,0140AAA104,15,0140A033,8/8/18 0:00,2,
23694,0140AAA104,16,0140A034,8/8/18 0:00,2,
23696,0140AAA104,17,0140A030,8/8/18 0:00,2,
23616,0140AAA104,18,0140A031,8/8/18 0:00,2,
23607,0140AAA105,1,0139B005補,8/8/18 0:00,1,
23631,0140AAA105,2,0139B008補,8/8/18 0:00,1,
23633,0140AAA105,3,0139B056補,8/8/18 0:00,2,
23642,0140AAA105,4,0139B026補,8/8/18 0:00,2,
23595,0140AAA105,5,0139A031補,8/8/18 0:00,2,
23618,0140AAA105,6,0140A007,8/8/18 0:00,2,
23690,0140AAA105,7,0140A002,8/8/18 0:00,2,
23675,0140AAA105,8,0140A003,8/8/18 0:00,2,
23733,0140AAA105,9,0140A054,8/8/18 0:00,2,
23678,0140AAA105,10,0140A016,8/8/18 0:00,2,
23709,0140AAA105,11,0140A024,8/8/18 0:00,2,
23610,0140AAA105,12,0140A049,8/8/18 0:00,2,
23630,0140AAA105,13,0140A043,8/8/18 0:00,2,
23712,0140AAA105,14,0140A044,8/8/18 0:00,2,
23700,0140AAA105,15,0140A035,8/8/18 0:00,2,
23692,0140AAA105,16,0140A037,8/8/18 0:00,2,
23691,0140AAA105,17,0140A038,8/8/18 0:00,2,
23681,0140AAA105,18,0140A039,8/8/18 0:00,2,
23589,0140BAA101,1,0139A001補,8/23/18 0:00,1,
23657,0140BAA101,2,0140A004補,8/23/18 0:00,2,
